title;gmd_name;edition;isbn_issn;publisher_name;publish_year;collation;series_title;call_number;language_name;place_name;classification;notes;image;sor;authors;topics;item_code
Penerapan Mistake Profing untuk Mencegah Miss Process Block 1 TR di Mesin;;;978-623-6335-64-2;Akademi Komunitas Toyota Indonesia (AKTI);2025;;;TA 3245201;Indonesia;Karawang;158.4 ;Mistake Proofing, Miss Process, Block 1 TR, Cylinder Block, PDCA, Cost Reduction.;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/3245201_Asep%20Retno%20Dwi%20K._Cover%20TA_page-0001_Perpustakaan%20Akti.png;;Kusuma Asep Retno Dwi;Mistake Proofing, Miss Process, Block 1 TR, Cylinder Block, PDCA, Cost Reduction.;TML161305129
The Leadership Tricks for Gen Z ;;;  978-623-5690-03-2;CV. Abadi  Selaras Karya;2024;;;Sig.I;Indonesia;Bekasi;621.8 ;Self Improvement;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/The%20LEADERSHIP%20TRICKS%20for%20GEN%20Z_Perpustakaan%20Akti.pdf;;Pristiyanto Sigit;Self Improvement;TML161305120
Teori dan Aplikasi Elemen Mekanik Teknik Mesin;;;978-623-02-5316-4;PENERBIT GAVA MEDIA;2022;;;Bas t;Indonesia;Yogyakarta;658.56 ;Teknik;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-10-21%20at%2014.18.26_Perpustakaan%20Akti.jpeg;;Basuki ;Teknik;TML161304814
Lean Manufacturing: Langkah Pengurangam Pemborosan dalam Produksi;;;978-602-401-483-4;CV BUDI UTAMA;2022;;;Mas l;Indonesia;Yogyakarta;621.381 ;Manajemen;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/LEA.%20MANUFACTURING%20LANGKAH%20PENGURANGAN%20PEMBOR_Perpustakaan%20Akti.pdf;;Rosyidah Masayu;Manajemen;TML151304856
Elektronika Pendekatan Praktis Aplikasi ;;;  978-623-7498-42-1;CV BUDI UTAMA;2021;;;Bud e;Indonesia;Yogyakarta;621.8 ;Elektronik;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/ELEKTRONIKA%20Pendekatan%20Praktis%20Aplikasi_Perpustakaan%20Akti.pdf;;Herdiana Budi ;Elektronik;TML161305050
Teori dan Reparasi Mesin Diesel;;;978-602-262-465-3;GAVA MEDIA;2019;;;Moc t;Indonesia;Yogyakarta;303.34 ;Keterampilan;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-10-21%20at%2014.20.08_Perpustakaan%20Akti.jpeg;;Wahyudi Mochamad ;Keterampilan;TML160202
Pemimpin dan Kepemimpinan;;;978-602-04-9745-7;GRAHA ILMU;2015;;;Tom p;Indonesia;Yogyakarta;297 ;Ilmu sosial;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-10-21%20at%2014.20.46_Perpustakaan%20Akti.jpeg;;Tambunan Toman Sony ;Ilmu sosial;TML161305128
Tanya dan Jawab Bersama Nabi;;;978-602-5945-81-6;PT. Elex Media Komputindo;2019;;;Lin t;Indonesia;Jakarta;158.1 ;Motivasi Islami;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/Tanya%20%26%20Jawab%20Bersama%20Nabi_Perpustakaan%20Akti.jpg;;Alam Lingkar;Motivasi Islami;TML161305133
Ikigai;;;978-623-01-3522-4;SCRITTO BOOKS PUBALISHER;2024;;;Ast i;Indonesia;Yogyakarta;001.42 ;Motivation;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-10-21%20at%2014.21.56_Perpustakaan%20Akti.jpeg;;Astuti;Motivation;TML161305013
Menulis Karya Ilmiah Berbasis Artificial Inteligence;;;978-623-6083-40-6;PENERBIT ANDI;2023;;;Men w;Indonesia;Yogyakarta;158.1 ;Computing & Internet;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-10-21%20at%2014.22.35_Perpustakaan%20Akti.jpeg;;Winarno Wing Wahyu ;Computing & Internet;TML161305055
Attitude Is Everything ;;;978-623-400-616-2;Rene Turos Grup ;2022;;;Jef a;Indonesia;Jakarta Selatan;659.2 ;Self Improvement;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/download__Perpustakaan%20Akti.png;;Keller Jeef;Self Improvement;TML161304990
Public Relation;;;978-602-06-4437-0;ANAK HEBAT INDONESIA;2023;;;Ari p;Indonesia;Yogyakarta;658.3 ;BISNIS;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-10-22%20at%2011.37.23_Perpustakaan%20Akti.jpeg;; Laurenzo Arie Octaviany;BISNIS;TML161305126
Leaders Eat Last;;;978-602-444-506-5;Gramedia Pustaka Utama;2023;;;Sim l;Indonesia;Jakarta;371.2 ;Self Improvement;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/download%20(3)_Perpustakaan%20Akti.png;;Sinek Simon;Self Improvement;TML161305141
Implementasi Kurikulum 2013 Revisi;;;979-442-030-1;PT. Bumi Aksara;2018;;;Mul i;Indonesia;Jakarta Timur;658.5;Pendidikan;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/Implementasi-Kurikulum-2013-Revisi_Perpustakaan%20Akti.jpg;;Mulyasa;Pendidikan;TML160645
Sistem Produksi Toyota 2 ;;;978-602-03-2406-7;PPM Dengan Yayasan Toyota dan Astra;2000;;;Mon s;Indonesia;Jakarta;658;Automobile industry and trade-Production control ;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/Toyota%20Production%20System%202_Perpustakaan%20Akti.pdf;;Monden Yasuhiro ;Automobile industry and trade-Production control ;TML160294
Cool, Calm, Confident;;;978-602-241-078-2;PT Gramedia Pustaka Utama;2011;;;Nas c;Indonesia;Jakarta;621.81 ;Nonfiksi/Inspirasi;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/download%20(4)_Perpustakaan%20Akti.png;;Nasution Akhiz ;Nonfiksi/Inspirasi;TML160679
Basic Gambar Teknik;;;978-602-04-8721-2;Erlangga;2010;;;Gie g;Indonesia;Jakarta;650.0285;Menggambar Teknik;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/Cover%20buku%20Gambar%20Teknik_Perpustakaan%20Akti.jpg;;Bielefeld Bert ;Menggambar Teknik;TML161305018
Information Technology Bussines Start Up;;;978-623-503-038-8;PT. Elex Media Komputindo;2018;;;Yud i;Indonesia;Jakarta;621.042;Business;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/cover%20buku%20Information%20Technology%20Bussines%20St_Perpustakaan%20Akti.jpg;;Yudhanto Yudhyo ;Business;TML161304955
